Date : 2023-08-05 21:16:21
Directory : /Users/weapp/ownProjects/seek-backend/src
Total : 126 files,  4386 codes, 102 comments, 533 blanks, all 5021 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |        126 |      4,386 |        102 |        533 |      5,021 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/weapp/ownProjects/seek-backend/src/controllers/api/db/messages/index.ts           | TypeScript |         16 |          0 |          2 |         18 |
| /Users/weapp/ownProjects/seek-backend/src/controllers/api/db/notificationTokens/index.ts | TypeScript |         11 |          0 |          3 |         14 |
| /Users/weapp/ownProjects/seek-backend/src/controllers/api/db/questions/index.ts          | TypeScript |          7 |          0 |          3 |         10 |
| /Users/weapp/ownProjects/seek-backend/src/controllers/api/db/readMessages/index.ts       | TypeScript |          7 |          0 |          3 |         10 |
| /Users/weapp/ownProjects/seek-backend/src/controllers/api/db/userChats/index.ts          | TypeScript |         13 |          0 |          3 |         16 |
| /Users/weapp/ownProjects/seek-backend/src/controllers/api/db/users/chats/index.ts        | TypeScript |         72 |         13 |          5 |         90 |
| /Users/weapp/ownProjects/seek-backend/src/controllers/api/db/users/index.ts              | TypeScript |         38 |          7 |          8 |         53 |
| /Users/weapp/ownProjects/seek-backend/src/controllers/api/db/users/questions/index.ts    | TypeScript |         46 |          2 |          5 |         53 |
| /Users/weapp/ownProjects/seek-backend/src/controllers/api/functions/fileUpload.ts        | TypeScript |         16 |          0 |          5 |         21 |
| /Users/weapp/ownProjects/seek-backend/src/controllers/api/functions/maps.ts              | TypeScript |         71 |          0 |         10 |         81 |
| /Users/weapp/ownProjects/seek-backend/src/controllers/api/socket/handleChatMessage.ts    | TypeScript |         49 |          5 |          3 |         57 |
| /Users/weapp/ownProjects/seek-backend/src/controllers/api/socket/handleIsActiveEvent.ts  | TypeScript |         40 |          7 |          9 |         56 |
| /Users/weapp/ownProjects/seek-backend/src/controllers/api/socket/handleIsTypingEvent.ts  | TypeScript |         29 |          4 |          5 |         38 |
| /Users/weapp/ownProjects/seek-backend/src/cronJobs/index.ts                              | TypeScript |         18 |          4 |          7 |         29 |
| /Users/weapp/ownProjects/seek-backend/src/cronJobs/invites.ts                            | TypeScript |        108 |          4 |          7 |        119 |
| /Users/weapp/ownProjects/seek-backend/src/cronJobs/question.ts                           | TypeScript |        101 |          6 |         10 |        117 |
| /Users/weapp/ownProjects/seek-backend/src/db/models/answer.ts                            | TypeScript |         39 |          0 |          4 |         43 |
| /Users/weapp/ownProjects/seek-backend/src/db/models/area.ts                              | TypeScript |         62 |          1 |          6 |         69 |
| /Users/weapp/ownProjects/seek-backend/src/db/models/chat.ts                              | TypeScript |         42 |          0 |          4 |         46 |
| /Users/weapp/ownProjects/seek-backend/src/db/models/coordinate.ts                        | TypeScript |         30 |          0 |          3 |         33 |
| /Users/weapp/ownProjects/seek-backend/src/db/models/country.ts                           | TypeScript |         30 |          0 |          3 |         33 |
| /Users/weapp/ownProjects/seek-backend/src/db/models/countryArea.ts                       | TypeScript |         36 |          0 |          4 |         40 |
| /Users/weapp/ownProjects/seek-backend/src/db/models/file.ts                              | TypeScript |         44 |          0 |          3 |         47 |
| /Users/weapp/ownProjects/seek-backend/src/db/models/fileType.ts                          | TypeScript |         22 |          0 |          4 |         26 |
| /Users/weapp/ownProjects/seek-backend/src/db/models/index.ts                             | TypeScript |         95 |          0 |          9 |        104 |
| /Users/weapp/ownProjects/seek-backend/src/db/models/language.ts                          | TypeScript |         21 |          0 |          4 |         25 |
| /Users/weapp/ownProjects/seek-backend/src/db/models/location.ts                          | TypeScript |         87 |          2 |          5 |         94 |
| /Users/weapp/ownProjects/seek-backend/src/db/models/message.ts                           | TypeScript |         39 |          0 |          4 |         43 |
| /Users/weapp/ownProjects/seek-backend/src/db/models/notificationToken.ts                 | TypeScript |         26 |          1 |          3 |         30 |
| /Users/weapp/ownProjects/seek-backend/src/db/models/question.ts                          | TypeScript |         56 |          0 |          4 |         60 |
| /Users/weapp/ownProjects/seek-backend/src/db/models/radiusArea.ts                        | TypeScript |         37 |          0 |          4 |         41 |
| /Users/weapp/ownProjects/seek-backend/src/db/models/readMessage.ts                       | TypeScript |         17 |          0 |          4 |         21 |
| /Users/weapp/ownProjects/seek-backend/src/db/models/timeZone.ts                          | TypeScript |         21 |          0 |          3 |         24 |
| /Users/weapp/ownProjects/seek-backend/src/db/models/user.ts                              | TypeScript |        120 |          0 |          6 |        126 |
